atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToMe, SFName3, Packet_To_Me3(MB), MyWorkload3(MI), LinkToEgress, EgressNode, Packet_To_Egress4(MB), WorkloadOnEgress(0)
0.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,11,1156,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,11,1650,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,8,1200,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,10,0
1.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,15,1528,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,15,2250,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,11,1650,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,14,0
2.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,10,1054,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,10,1500,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,7,1050,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,9,0
3.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,14,1404,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,14,2100,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,10,1500,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,13,0
4.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,13,1330,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,13,1950,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,9,1350,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,12,0
5.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,14,1429,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,14,2100,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,10,1500,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,13,0
6.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,13,1314,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,13,1950,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,9,1350,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,12,0
7.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,12,1246,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,12,1800,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,9,1350,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,12,0
8.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,13,1314,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,13,1950,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,9,1350,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,12,0
9.0,sfc-ingress15egress15_psfc1,Ingress15,0,0,Ingress15-sfc-ingress15egress15_psfc1SF-A,sfc-ingress15egress15_psfc1SF-A,12,1216,sfc-ingress15egress15_psfc1SF-A-sfc-ingress15egress15_psfc1SF-B,sfc-ingress15egress15_psfc1SF-B,12,1800,sfc-ingress15egress15_psfc1SF-B-sfc-ingress15egress15_psfc1SF-C,sfc-ingress15egress15_psfc1SF-C,9,1350,sfc-ingress15egress15_psfc1SF-C-Egress15,Egress15,12,0
