atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1270,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
1.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1245,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
2.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,15,1553,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,15,0
3.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1357,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
4.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1317,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
5.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1302,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
6.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1340,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
7.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,15,1504,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,15,0
8.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,11,1150,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,11,0
9.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,14,1426,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,14,0
10.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,15,1554,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,15,0
11.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1353,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
12.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,11,1189,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,11,0
13.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,16,1653,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,16,0
14.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,11,1128,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,11,0
15.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,11,1135,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,11,0
16.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,14,1417,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,14,0
17.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1257,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
18.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1395,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
19.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1310,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
20.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,15,1565,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,15,0
21.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,14,1426,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,14,0
22.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1398,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
23.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,15,1568,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,15,0
24.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1315,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
25.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1333,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
26.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1226,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
27.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1231,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
28.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,16,1669,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,16,0
29.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1276,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
30.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,13,1352,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,13,0
31.0,sfc-ingress36egress36_psfc1,Ingress36,0,0,Ingress36-sfc-ingress36egress36_psfc1SF-A,sfc-ingress36egress36_psfc1SF-A,12,1290,sfc-ingress36egress36_psfc1SF-A-Egress36,Egress36,12,0
