time(s),target_sfc,Ingress,Egress,latency_demand(s),Transmission1(MB),cloudlet.1(MI),Transmission2(MB),cloudlet.2(MI),Transmission3(MB),cloudlet.3(MI),Transmission4(MB),cloudlet.4(MI)3700.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3710.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3720.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3730.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3740.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3750.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3760.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3770.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3780.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3790.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3800.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3810.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3820.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3830.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3840.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3850.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3860.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3870.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3880.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3890.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3900.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3910.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
3920.0,chain1,Ingress1,Egress1,10.0,110,110000,165,82500,110,11000,91,27300
3930.0,chain1,Ingress1,Egress1,10.0,100,100000,150,75000,100,10000,83,24900
