DC2-HRG5-1,1.0,0.0
DC1-HRG4-1,1.0,0.0
DC1-HRG3-2,1.0,0.0
DC1-HRG3-1,1.0,0.0
DC2-HRG5-1,10.0,0.0
DC1-HRG4-1,10.0,0.0
DC1-HRG3-2,10.0,0.0
DC1-HRG3-1,10.0,0.0
DC2-HRG5-1,20.0,0.0
DC1-HRG4-1,20.0,0.0
DC1-HRG3-2,20.0,0.0
DC1-HRG3-1,20.0,0.0
DC2-HRG5-1,30.0,0.0
DC1-HRG4-1,30.0,0.0
DC1-HRG3-2,30.0,0.0
DC1-HRG3-1,30.0,0.0
DC2-HRG5-1,40.0,0.0
DC1-HRG4-1,40.0,0.0
DC1-HRG3-2,40.0,0.0
DC1-HRG3-1,40.0,0.0
DC2-HRG5-1,50.0,0.0
DC1-HRG4-1,50.0,0.0
DC1-HRG3-2,50.0,0.0
DC1-HRG3-1,50.0,0.0
DC2-HRG5-1,60.0,0.0
DC1-HRG4-1,60.0,0.0
DC1-HRG3-2,60.0,0.0
DC1-HRG3-1,60.0,0.0
DC2-HRG5-1,70.0,0.0
DC1-HRG4-1,70.0,0.0
DC1-HRG3-2,70.0,0.0
DC1-HRG3-1,70.0,0.0
DC2-HRG5-1,80.0,0.0
DC1-HRG4-1,80.0,0.0
DC1-HRG3-2,80.0,0.0
DC1-HRG3-1,80.0,0.0
DC2-HRG5-1,90.0,0.0
DC1-HRG4-1,90.0,0.0
DC1-HRG3-2,90.0,0.0
DC1-HRG3-1,90.0,0.0
DC2-HRG5-1,100.0,0.0
DC1-HRG4-1,100.0,0.0
DC1-HRG3-2,100.0,0.0
DC1-HRG3-1,100.0,0.0
DC2-HRG5-1,110.0,0.0
DC1-HRG4-1,110.0,0.0
DC1-HRG3-2,110.0,0.0
DC1-HRG3-1,110.0,0.0
DC1-HRG4-1,111.0,0.0
DC1-HRG3-2,111.0,0.0
DC1-HRG3-1,111.0,0.0
DC1-HRG4-1,112.0,0.0
DC1-HRG3-2,112.0,0.0
DC1-HRG3-1,112.0,0.0
DC2-HRG5-1,120.0,0.0
DC1-HRG4-1,120.0,0.0
DC1-HRG3-2,120.0,0.0
DC1-HRG3-1,120.0,0.0
DC2-HRG5-1,130.0,0.0
DC1-HRG4-1,130.0,0.0
DC1-HRG3-2,130.0,0.0
DC1-HRG3-1,130.0,0.0
DC1-HRG4-1,131.0,0.0
DC1-HRG3-2,131.0,0.0
DC1-HRG3-1,131.0,0.0
DC1-HRG4-1,132.0,0.0
DC1-HRG3-2,132.0,0.0
DC1-HRG3-1,132.0,0.0
DC2-HRG5-1,140.0,0.0
DC1-HRG4-1,140.0,0.0
DC1-HRG3-2,140.0,0.0
DC1-HRG3-1,140.0,0.0
DC2-HRG5-1,150.0,0.0
DC1-HRG4-1,150.0,0.0
DC1-HRG3-2,150.0,0.0
DC1-HRG3-1,150.0,0.0
DC1-HRG4-1,151.0,0.0
DC1-HRG3-2,151.0,0.0
DC1-HRG3-1,151.0,0.0
DC1-HRG4-1,152.0,0.0
DC1-HRG3-2,152.0,0.0
DC1-HRG3-1,152.0,0.0
DC2-HRG5-1,160.0,0.0
DC1-HRG4-1,160.0,0.0
DC1-HRG3-2,160.0,0.0
DC1-HRG3-1,160.0,0.0
DC2-HRG5-1,170.0,0.0
DC1-HRG4-1,170.0,0.0
DC1-HRG3-2,170.0,0.0
DC1-HRG3-1,170.0,0.0
DC1-HRG4-1,171.0,0.0
DC1-HRG3-2,171.0,0.0
DC1-HRG3-1,171.0,0.0
DC1-HRG4-1,172.0,0.0
DC1-HRG3-2,172.0,0.0
DC1-HRG3-1,172.0,0.0
DC2-HRG5-1,180.0,0.0
DC1-HRG4-1,180.0,0.0
DC1-HRG3-2,180.0,0.0
DC1-HRG3-1,180.0,0.0
DC2-HRG5-1,190.0,0.0
DC1-HRG4-1,190.0,0.0
DC1-HRG3-2,190.0,0.0
DC1-HRG3-1,190.0,0.0
DC1-HRG4-1,191.0,0.0
DC1-HRG3-2,191.0,0.0
DC1-HRG3-1,191.0,0.0
DC1-HRG4-1,192.0,0.0
DC1-HRG3-2,192.0,0.0
DC1-HRG3-1,192.0,0.0
DC2-HRG5-1,200.0,0.0
DC1-HRG4-1,200.0,0.0
DC1-HRG3-2,200.0,0.0
DC1-HRG3-1,200.0,0.0
DC2-HRG5-1,210.0,0.0
DC1-HRG4-1,210.0,0.0
DC1-HRG3-2,210.0,0.0
DC1-HRG3-1,210.0,0.0
DC1-HRG4-1,211.0,0.0
DC1-HRG3-2,211.0,0.0
DC1-HRG3-1,211.0,0.0
DC1-HRG4-1,212.0,0.0
DC1-HRG3-2,212.0,0.0
DC1-HRG3-1,212.0,0.0
DC2-HRG5-1,220.0,0.0
DC1-HRG4-1,220.0,0.0
DC1-HRG3-2,220.0,0.0
DC1-HRG3-1,220.0,0.0
DC2-HRG5-1,230.0,0.0
DC1-HRG4-1,230.0,0.0
DC1-HRG3-2,230.0,0.0
DC1-HRG3-1,230.0,0.0
DC1-HRG4-1,231.0,0.0
DC1-HRG3-2,231.0,0.0
DC1-HRG3-1,231.0,0.0
DC1-HRG4-1,232.0,0.0
DC1-HRG3-2,232.0,0.0
DC1-HRG3-1,232.0,0.0
DC2-HRG5-1,240.0,0.0
DC1-HRG4-1,240.0,0.0
DC1-HRG3-2,240.0,0.0
DC1-HRG3-1,240.0,0.0
DC2-HRG5-1,250.0,0.0
DC1-HRG4-1,250.0,0.0
DC1-HRG3-2,250.0,0.0
DC1-HRG3-1,250.0,0.0
DC1-HRG4-1,251.0,0.0
DC1-HRG3-2,251.0,0.0
DC1-HRG3-1,251.0,0.0
DC1-HRG4-1,252.0,0.0
DC1-HRG3-2,252.0,0.0
