event_arrival_time,HostName,failure_time,recovery_time
0.0,host02,1.1761830002268512,3.7134121444057078
0.0,host03,3.246927527852342,5.187105889617144
0.0,host03,4.7830586878394525,6.753351546411116
0.0,host03,7.54298871937887,8.907067153311257
0.0,host03,9.666510594575014,11.24496604640192
0.0,host02,13.37298772757153,16.317029441042735
0.0,host03,14.276096419920421,15.929649954285786
0.0,host03,16.098787403954464,17.724440024929983
0.0,host03,20.12581432837804,21.862613370435128
0.0,host03,27.462223795784038,29.381520939966485
0.0,host03,30.303445290550616,31.949737239919973
0.0,host02,31.378845924970985,34.04106707790434
0.0,host03,32.22032718128559,34.196990983658104
0.0,host03,34.232119365154155,36.20261975029434
0.0,host02,35.826978456277644,39.12810019660434
0.0,host02,40.445233940085004,43.82002662633566
0.0,host03,39.606950393383116,41.3803607102818
0.0,host03,44.69400119644316,46.14163241115945
0.0,host02,47.32821054362774,49.8538426273439
0.0,host03,52.20097208460618,53.739813638231006
0.0,host03,56.11693432181531,57.686722547066495
0.0,host03,58.09803479200053,59.994052003049674
0.0,host03,60.35086674762983,62.35023836926577
0.0,host02,62.520142340915996,65.79888837136409
0.0,host03,62.930882258296386,64.66845764658964
0.0,host01,65.40689285070823,66.99789668920803
0.0,host03,67.02397875461139,68.64365692722308
0.0,host03,68.67127373353449,70.6639040505682
0.0,host03,72.81449977213185,74.80900259172687
0.0,host03,76.76336579333264,78.1223947479435
0.0,host03,78.59465032763146,80.46416486192602
0.0,host02,81.74132503776394,84.4472119148557
0.0,host03,81.39521892476114,82.99227290737437
0.0,host03,84.16796941473847,86.02301702394787
0.0,host03,87.96446476958779,89.55538186797772
0.0,host02,90.45489114202192,92.77488177032588
0.0,host03,92.62190716274867,94.26664704959137
0.0,host03,94.90395463032972,96.71537180508753
0.0,host02,96.35184875848218,99.55566512155939
0.0,host03,96.90314601123009,98.31921014444612
