atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToEgress, EgressNode, Packet_To_Egress3(MB), WorkloadOnEgress(0)
0.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,16,2482,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,12,1800,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,16,0
1.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,12,1907,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,9,1350,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,12,0
2.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,14,2179,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,10,1500,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,13,0
3.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,17,2637,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,13,1950,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,17,0
4.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,16,2437,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,12,1800,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,16,0
5.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,15,2277,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,11,1650,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,14,0
6.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,13,2020,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,10,1500,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,13,0
7.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,16,2476,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,12,1800,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,16,0
8.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,14,2225,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,11,1650,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,14,0
9.0,sfc-ingress16egress16_psfc1,Ingress16,0,0,Ingress16-sfc-ingress16egress16_psfc1SF-B,sfc-ingress16egress16_psfc1SF-B,14,2239,sfc-ingress16egress16_psfc1SF-B-sfc-ingress16egress16_psfc1SF-C,sfc-ingress16egress16_psfc1SF-C,11,1650,sfc-ingress16egress16_psfc1SF-C-Egress16,Egress16,14,0
