atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,901,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,9,0
1.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1229,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,12,0
2.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1248,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,12,0
3.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1150,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,11,0
4.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1078,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,10,0
5.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,8,898,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,8,0
6.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1150,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,11,0
7.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,959,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,9,0
8.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1204,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,12,0
9.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1043,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,10,0
10.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,965,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,9,0
11.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,915,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,9,0
12.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1262,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,12,0
13.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,938,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,9,0
14.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1137,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,11,0
15.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,11,1118,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,11,0
16.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,8,882,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,8,0
17.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,10,1088,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,10,0
18.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,12,1298,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,12,0
19.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,9,991,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,9,0
20.0,sfc-ingress11egress11_psfc1,Ingress11,0,0,Ingress11-sfc-ingress11egress11_psfc1SF-A,sfc-ingress11egress11_psfc1SF-A,8,883,sfc-ingress11egress11_psfc1SF-A-Egress11,Egress11,8,0
