atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToMe, SFName3, Packet_To_Me3(MB), MyWorkload3(MI), LinkToEgress, EgressNode, Packet_To_Egress4(MB), WorkloadOnEgress(0)
0.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,15,1516,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,15,2250,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,11,1650,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,14,0
1.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,16,1647,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,16,2400,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,12,1800,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,16,0
2.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,15,1592,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,15,2250,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,11,1650,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,14,0
3.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,12,1271,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,12,1800,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,9,1350,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,12,0
4.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,15,1555,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,15,2250,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,11,1650,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,14,0
5.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,15,1590,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,15,2250,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,11,1650,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,14,0
6.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,14,1477,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,14,2100,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,10,1500,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,13,0
7.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,15,1532,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,15,2250,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,11,1650,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,14,0
8.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,16,1602,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,16,2400,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,12,1800,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,16,0
9.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,16,1640,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,16,2400,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,12,1800,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,16,0
10.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,12,1299,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,12,1800,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,9,1350,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,12,0
11.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,16,1600,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,16,2400,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,12,1800,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,16,0
12.0,sfc-ingress19egress19_psfc1,Ingress19,0,0,Ingress19-sfc-ingress19egress19_psfc1SF-A,sfc-ingress19egress19_psfc1SF-A,17,1763,sfc-ingress19egress19_psfc1SF-A-sfc-ingress19egress19_psfc1SF-B,sfc-ingress19egress19_psfc1SF-B,17,2550,sfc-ingress19egress19_psfc1SF-B-sfc-ingress19egress19_psfc1SF-C,sfc-ingress19egress19_psfc1SF-C,12,1800,sfc-ingress19egress19_psfc1SF-C-Egress19,Egress19,16,0
