event_arrival_time,HostName,failure_time,recovery_time
0.0,DC1-HRG2-1,2.510433446061423,5.241620001278592
0.0,DC2-HRG5-5,3.5893657254537756,6.823198635586401
0.0,DC1-HRG2-4,3.6987290733224802,5.870987660659201
0.0,DC1-HRG2-7,2.7396483584346414,5.44087366998351
0.0,DC2-HRG5-2,4.283874585589878,5.655712107921104
0.0,DC2-HRG5-4,5.568987117365283,7.36442831162722
0.0,DC2-HRG5-3,5.552710273372868,7.623647176148385
0.0,DC1-HRG2-4,4.995688797997632,7.732608653893237
0.0,DC1-HRG2-2,5.5585467439173035,7.848710248401462
0.0,DC1-HRG2-3,7.937258895871401,10.149154335260565
0.0,DC1-HRG2-3,7.461692907266133,9.13058398850448
0.0,DC1-HRG2-8,7.0392248278202745,8.948876391031243
0.0,DC1-HRG2-5,7.258490734453674,10.100503353375846
0.0,DC1-HRG2-8,6.753322003266679,8.685521087938215
0.0,DC2-HRG5-6,10.388389300970404,12.081659832083844
0.0,DC2-HRG5-3,9.728244320546622,11.411962829688623
0.0,DC1-HRG1-7,9.179821728401823,11.978111473523203
0.0,DC1-HRG1-5,9.099576167415117,10.757734108701198
0.0,DC1-HRG1-3,9.160408488174726,11.007817999494712
0.0,DC1-HRG2-6,10.816601974102957,12.35225571821056
0.0,DC1-HRG1-4,12.038766831659196,14.18167843736741
0.0,DC1-HRG1-6,11.563942006219452,13.910986887911108
0.0,DC1-HRG2-8,13.080446633920047,15.63241813855177
0.0,DC1-HRG2-6,12.461040980563794,14.701550987776994
0.0,DC2-HRG5-5,14.73059982368979,17.32416860690383
0.0,DC1-HRG2-1,13.9519014270911,16.082316562687893
0.0,DC1-HRG2-8,15.031344961489529,17.10473451544154
0.0,DC1-HRG2-4,14.782498618760114,17.990235365534197
0.0,DC1-HRG1-3,15.813726532425196,17.43757227379333
0.0,DC1-HRG2-2,15.364311338340396,18.10505131052956
0.0,DC1-HRG2-1,16.10421619223536,18.622203685237306
0.0,DC1-HRG2-7,15.682092731079827,18.109816693146044
0.0,DC1-HRG2-6,17.034840457263776,19.614117948255384
0.0,DC1-HRG2-2,16.18667705787655,18.541228989201137
0.0,DC2-HRG5-6,17.26673798335699,18.706151670582255
0.0,DC1-HRG2-2,17.260362197187938,19.1992473092811
