time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
0.0,chain4,Ingress4,16,16,SF-B,1281,8,SF-C,1200,5,Egress4,1000.0
1.0,chain4,Ingress4,12,12,SF-B,974,6,SF-C,900,4,Egress4,1000.0
2.0,chain4,Ingress4,11,11,SF-B,923,5,SF-C,750,3,Egress4,1000.0
3.0,chain4,Ingress4,13,13,SF-B,1099,6,SF-C,900,4,Egress4,1000.0
4.0,chain4,Ingress4,13,13,SF-B,1064,6,SF-C,900,4,Egress4,1000.0
5.0,chain4,Ingress4,11,11,SF-B,904,5,SF-C,750,3,Egress4,1000.0
6.0,chain4,Ingress4,11,11,SF-B,921,5,SF-C,750,3,Egress4,1000.0
7.0,chain4,Ingress4,14,14,SF-B,1151,7,SF-C,1050,4,Egress4,1000.0
8.0,chain4,Ingress4,16,16,SF-B,1296,8,SF-C,1200,5,Egress4,1000.0
9.0,chain4,Ingress4,14,14,SF-B,1154,7,SF-C,1050,4,Egress4,1000.0
10.0,chain4,Ingress4,13,13,SF-B,1102,6,SF-C,900,4,Egress4,1000.0
11.0,chain4,Ingress4,14,14,SF-B,1147,7,SF-C,1050,4,Egress4,1000.0
12.0,chain4,Ingress4,12,12,SF-B,1023,6,SF-C,900,4,Egress4,1000.0
13.0,chain4,Ingress4,13,13,SF-B,1070,6,SF-C,900,4,Egress4,1000.0
14.0,chain4,Ingress4,13,13,SF-B,1042,6,SF-C,900,4,Egress4,1000.0
15.0,chain4,Ingress4,12,12,SF-B,1027,6,SF-C,900,4,Egress4,1000.0
16.0,chain4,Ingress4,12,12,SF-B,1011,6,SF-C,900,4,Egress4,1000.0
17.0,chain4,Ingress4,15,15,SF-B,1244,7,SF-C,1050,4,Egress4,1000.0
18.0,chain4,Ingress4,15,15,SF-B,1223,7,SF-C,1050,4,Egress4,1000.0
19.0,chain4,Ingress4,14,14,SF-B,1157,7,SF-C,1050,4,Egress4,1000.0
20.0,chain4,Ingress4,11,11,SF-B,919,5,SF-C,750,3,Egress4,1000.0
