time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
0.0,chain20,Ingress20,10,10,SF-C,1523,6,SF-D,600,12,Egress20,1000.0
1.0,chain20,Ingress20,9,9,SF-C,1430,6,SF-D,600,12,Egress20,1000.0
2.0,chain20,Ingress20,10,10,SF-C,1639,7,SF-D,700,14,Egress20,1000.0
3.0,chain20,Ingress20,10,10,SF-C,1606,7,SF-D,700,14,Egress20,1000.0
4.0,chain20,Ingress20,12,12,SF-C,1841,8,SF-D,800,16,Egress20,1000.0
5.0,chain20,Ingress20,11,11,SF-C,1724,7,SF-D,700,14,Egress20,1000.0
6.0,chain20,Ingress20,9,9,SF-C,1421,6,SF-D,600,12,Egress20,1000.0
7.0,chain20,Ingress20,9,9,SF-C,1358,6,SF-D,600,12,Egress20,1000.0
8.0,chain20,Ingress20,11,11,SF-C,1774,7,SF-D,700,14,Egress20,1000.0
9.0,chain20,Ingress20,11,11,SF-C,1722,7,SF-D,700,14,Egress20,1000.0
10.0,chain20,Ingress20,10,10,SF-C,1509,6,SF-D,600,12,Egress20,1000.0
11.0,chain20,Ingress20,10,10,SF-C,1615,7,SF-D,700,14,Egress20,1000.0
12.0,chain20,Ingress20,10,10,SF-C,1534,6,SF-D,600,12,Egress20,1000.0
13.0,chain20,Ingress20,8,8,SF-C,1328,5,SF-D,500,10,Egress20,1000.0
14.0,chain20,Ingress20,12,12,SF-C,1817,8,SF-D,800,16,Egress20,1000.0
15.0,chain20,Ingress20,9,9,SF-C,1477,6,SF-D,600,12,Egress20,1000.0
16.0,chain20,Ingress20,12,12,SF-C,1946,8,SF-D,800,16,Egress20,1000.0
17.0,chain20,Ingress20,9,9,SF-C,1411,6,SF-D,600,12,Egress20,1000.0
18.0,chain20,Ingress20,11,11,SF-C,1727,7,SF-D,700,14,Egress20,1000.0
19.0,chain20,Ingress20,11,11,SF-C,1712,7,SF-D,700,14,Egress20,1000.0
20.0,chain20,Ingress20,11,11,SF-C,1665,7,SF-D,700,14,Egress20,1000.0
21.0,chain20,Ingress20,11,11,SF-C,1712,7,SF-D,700,14,Egress20,1000.0
22.0,chain20,Ingress20,10,10,SF-C,1501,6,SF-D,600,12,Egress20,1000.0
23.0,chain20,Ingress20,12,12,SF-C,1805,8,SF-D,800,16,Egress20,1000.0
24.0,chain20,Ingress20,11,11,SF-C,1785,7,SF-D,700,14,Egress20,1000.0
25.0,chain20,Ingress20,10,10,SF-C,1502,6,SF-D,600,12,Egress20,1000.0
26.0,chain20,Ingress20,13,13,SF-C,1967,8,SF-D,800,16,Egress20,1000.0
27.0,chain20,Ingress20,11,11,SF-C,1728,7,SF-D,700,14,Egress20,1000.0
28.0,chain20,Ingress20,11,11,SF-C,1747,7,SF-D,700,14,Egress20,1000.0
29.0,chain20,Ingress20,11,11,SF-C,1773,7,SF-D,700,14,Egress20,1000.0
30.0,chain20,Ingress20,12,12,SF-C,1814,8,SF-D,800,16,Egress20,1000.0
31.0,chain20,Ingress20,10,10,SF-C,1539,6,SF-D,600,12,Egress20,1000.0
32.0,chain20,Ingress20,11,11,SF-C,1771,7,SF-D,700,14,Egress20,1000.0
33.0,chain20,Ingress20,9,9,SF-C,1430,6,SF-D,600,12,Egress20,1000.0
34.0,chain20,Ingress20,9,9,SF-C,1390,6,SF-D,600,12,Egress20,1000.0
35.0,chain20,Ingress20,10,10,SF-C,1603,7,SF-D,700,14,Egress20,1000.0
36.0,chain20,Ingress20,9,9,SF-C,1486,6,SF-D,600,12,Egress20,1000.0
