time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
0.0,chain10,Ingress10,14,14,SF-B,1191,7,SF-E,1400,11,Egress10,1000.0
1.0,chain10,Ingress10,16,16,SF-B,1335,8,SF-E,1600,13,Egress10,1000.0
2.0,chain10,Ingress10,17,17,SF-B,1398,8,SF-E,1600,13,Egress10,1000.0
3.0,chain10,Ingress10,16,16,SF-B,1328,8,SF-E,1600,13,Egress10,1000.0
4.0,chain10,Ingress10,14,14,SF-B,1193,7,SF-E,1400,11,Egress10,1000.0
5.0,chain10,Ingress10,14,14,SF-B,1132,7,SF-E,1400,11,Egress10,1000.0
6.0,chain10,Ingress10,13,13,SF-B,1077,6,SF-E,1200,10,Egress10,1000.0
7.0,chain10,Ingress10,12,12,SF-B,965,6,SF-E,1200,10,Egress10,1000.0
8.0,chain10,Ingress10,17,17,SF-B,1379,8,SF-E,1600,13,Egress10,1000.0
9.0,chain10,Ingress10,17,17,SF-B,1437,8,SF-E,1600,13,Egress10,1000.0
10.0,chain10,Ingress10,16,16,SF-B,1300,8,SF-E,1600,13,Egress10,1000.0
11.0,chain10,Ingress10,17,17,SF-B,1372,8,SF-E,1600,13,Egress10,1000.0
12.0,chain10,Ingress10,17,17,SF-B,1426,8,SF-E,1600,13,Egress10,1000.0
13.0,chain10,Ingress10,12,12,SF-B,973,6,SF-E,1200,10,Egress10,1000.0
14.0,chain10,Ingress10,16,16,SF-B,1355,8,SF-E,1600,13,Egress10,1000.0
15.0,chain10,Ingress10,13,13,SF-B,1066,6,SF-E,1200,10,Egress10,1000.0
16.0,chain10,Ingress10,16,16,SF-B,1344,8,SF-E,1600,13,Egress10,1000.0
17.0,chain10,Ingress10,17,17,SF-B,1410,8,SF-E,1600,13,Egress10,1000.0
18.0,chain10,Ingress10,14,14,SF-B,1189,7,SF-E,1400,11,Egress10,1000.0
19.0,chain10,Ingress10,12,12,SF-B,1015,6,SF-E,1200,10,Egress10,1000.0
20.0,chain10,Ingress10,13,13,SF-B,1096,6,SF-E,1200,10,Egress10,1000.0
21.0,chain10,Ingress10,12,12,SF-B,1002,6,SF-E,1200,10,Egress10,1000.0
22.0,chain10,Ingress10,15,15,SF-B,1209,7,SF-E,1400,11,Egress10,1000.0
23.0,chain10,Ingress10,13,13,SF-B,1080,6,SF-E,1200,10,Egress10,1000.0
24.0,chain10,Ingress10,15,15,SF-B,1258,7,SF-E,1400,11,Egress10,1000.0
25.0,chain10,Ingress10,15,15,SF-B,1216,7,SF-E,1400,11,Egress10,1000.0
26.0,chain10,Ingress10,15,15,SF-B,1275,7,SF-E,1400,11,Egress10,1000.0
27.0,chain10,Ingress10,15,15,SF-B,1205,7,SF-E,1400,11,Egress10,1000.0
28.0,chain10,Ingress10,16,16,SF-B,1289,8,SF-E,1600,13,Egress10,1000.0
29.0,chain10,Ingress10,12,12,SF-B,964,6,SF-E,1200,10,Egress10,1000.0
30.0,chain10,Ingress10,15,15,SF-B,1271,7,SF-E,1400,11,Egress10,1000.0
31.0,chain10,Ingress10,12,12,SF-B,1031,6,SF-E,1200,10,Egress10,1000.0
32.0,chain10,Ingress10,14,14,SF-B,1155,7,SF-E,1400,11,Egress10,1000.0
33.0,chain10,Ingress10,14,14,SF-B,1197,7,SF-E,1400,11,Egress10,1000.0
34.0,chain10,Ingress10,17,17,SF-B,1388,8,SF-E,1600,13,Egress10,1000.0
35.0,chain10,Ingress10,14,14,SF-B,1195,7,SF-E,1400,11,Egress10,1000.0
36.0,chain10,Ingress10,14,14,SF-B,1121,7,SF-E,1400,11,Egress10,1000.0
37.0,chain10,Ingress10,12,12,SF-B,1016,6,SF-E,1200,10,Egress10,1000.0
38.0,chain10,Ingress10,12,12,SF-B,981,6,SF-E,1200,10,Egress10,1000.0
39.0,chain10,Ingress10,16,16,SF-B,1302,8,SF-E,1600,13,Egress10,1000.0
40.0,chain10,Ingress10,15,15,SF-B,1219,7,SF-E,1400,11,Egress10,1000.0
41.0,chain10,Ingress10,14,14,SF-B,1158,7,SF-E,1400,11,Egress10,1000.0
42.0,chain10,Ingress10,14,14,SF-B,1136,7,SF-E,1400,11,Egress10,1000.0
43.0,chain10,Ingress10,14,14,SF-B,1188,7,SF-E,1400,11,Egress10,1000.0
44.0,chain10,Ingress10,14,14,SF-B,1177,7,SF-E,1400,11,Egress10,1000.0
45.0,chain10,Ingress10,13,13,SF-B,1083,6,SF-E,1200,10,Egress10,1000.0
46.0,chain10,Ingress10,16,16,SF-B,1351,8,SF-E,1600,13,Egress10,1000.0
47.0,chain10,Ingress10,15,15,SF-B,1201,7,SF-E,1400,11,Egress10,1000.0
48.0,chain10,Ingress10,13,13,SF-B,1086,6,SF-E,1200,10,Egress10,1000.0
49.0,chain10,Ingress10,13,13,SF-B,1050,6,SF-E,1200,10,Egress10,1000.0
50.0,chain10,Ingress10,17,17,SF-B,1407,8,SF-E,1600,13,Egress10,1000.0
51.0,chain10,Ingress10,13,13,SF-B,1060,6,SF-E,1200,10,Egress10,1000.0
52.0,chain10,Ingress10,12,12,SF-B,964,6,SF-E,1200,10,Egress10,1000.0
53.0,chain10,Ingress10,17,17,SF-B,1389,8,SF-E,1600,13,Egress10,1000.0
54.0,chain10,Ingress10,17,17,SF-B,1384,8,SF-E,1600,13,Egress10,1000.0
55.0,chain10,Ingress10,12,12,SF-B,991,6,SF-E,1200,10,Egress10,1000.0
56.0,chain10,Ingress10,17,17,SF-B,1438,8,SF-E,1600,13,Egress10,1000.0
57.0,chain10,Ingress10,12,12,SF-B,1030,6,SF-E,1200,10,Egress10,1000.0
58.0,chain10,Ingress10,15,15,SF-B,1201,7,SF-E,1400,11,Egress10,1000.0
59.0,chain10,Ingress10,15,15,SF-B,1279,7,SF-E,1400,11,Egress10,1000.0
