atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,986,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
1.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,10,1011,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,10,0
2.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,972,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
3.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,11,1145,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,11,0
4.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,957,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
5.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,11,1163,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,11,0
6.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,965,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
7.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,811,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
8.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,949,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
9.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,875,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
10.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,928,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
11.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,11,1137,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,11,0
12.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,975,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
13.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,956,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
14.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,803,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
15.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,841,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
16.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,979,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
17.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,817,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
18.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,821,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
19.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,10,1074,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,10,0
20.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,11,1163,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,11,0
21.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,830,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
22.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,880,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
23.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,936,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
24.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,831,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
25.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,948,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
26.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,9,908,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,9,0
27.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,8,890,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,8,0
28.0,sfc-ingress9egress9_psfc1,Ingress9,0,0,Ingress9-sfc-ingress9egress9_psfc1SF-A,sfc-ingress9egress9_psfc1SF-A,11,1134,sfc-ingress9egress9_psfc1SF-A-Egress9,Egress9,11,0
