atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToEgress, EgressNode, Packet_To_Egress3(MB), WorkloadOnEgress(0)
0.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,11,1723,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
1.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,11,1725,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
2.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,10,1649,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
3.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,13,1977,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,9,1350,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,12,0
4.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,10,1615,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
5.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,11,1662,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
6.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,13,1975,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,9,1350,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,12,0
7.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,12,1838,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,9,1350,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,12,0
8.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,11,1750,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
9.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,13,1975,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,9,1350,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,12,0
10.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,11,1749,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
11.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,12,1907,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,9,1350,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,12,0
12.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,14,2161,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,10,1500,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,13,0
13.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,15,2318,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,11,1650,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,14,0
14.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,14,2214,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,11,1650,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,14,0
15.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,10,1593,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,7,1050,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,9,0
16.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,11,1729,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,8,1200,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,10,0
17.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,15,2320,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,11,1650,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,14,0
18.0,sfc-ingress32egress32_psfc1,Ingress32,0,0,Ingress32-sfc-ingress32egress32_psfc1SF-B,sfc-ingress32egress32_psfc1SF-B,12,1885,sfc-ingress32egress32_psfc1SF-B-sfc-ingress32egress32_psfc1SF-C,sfc-ingress32egress32_psfc1SF-C,9,1350,sfc-ingress32egress32_psfc1SF-C-Egress32,Egress32,12,0
