atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToMe, SFName2, Packet_To_Me2(MB), MyWorkload2(MI), LinkToMe, SFName3, Packet_To_Me3(MB), MyWorkload3(MI), LinkToEgress, EgressNode, Packet_To_Egress4(MB), WorkloadOnEgress(0)
0.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,11,1190,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,11,1650,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,8,1200,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,10,0
1.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,11,1100,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,11,1650,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,8,1200,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,10,0
2.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,8,856,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,8,1200,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,6,900,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,8,0
3.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,11,1121,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,11,1650,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,8,1200,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,10,0
4.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,10,1082,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,10,1500,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,7,1050,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,9,0
5.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,8,852,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,8,1200,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,6,900,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,8,0
6.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,10,1076,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,10,1500,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,7,1050,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,9,0
7.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,10,1013,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,10,1500,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,7,1050,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,9,0
8.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,10,1082,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,10,1500,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,7,1050,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,9,0
9.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,8,880,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,8,1200,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,6,900,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,8,0
10.0,sfc-ingress28egress28_psfc1,Ingress28,0,0,Ingress28-sfc-ingress28egress28_psfc1SF-A,sfc-ingress28egress28_psfc1SF-A,10,1052,sfc-ingress28egress28_psfc1SF-A-sfc-ingress28egress28_psfc1SF-B,sfc-ingress28egress28_psfc1SF-B,10,1500,sfc-ingress28egress28_psfc1SF-B-sfc-ingress28egress28_psfc1SF-C,sfc-ingress28egress28_psfc1SF-C,7,1050,sfc-ingress28egress28_psfc1SF-C-Egress28,Egress28,9,0
