atime(s), chainName, IngressNode, packetToIngress(0), WorkloadOnIngress(0), LinkToMe, SFName1, Packet_To_Me1(MB), MyWorkload1(MI), LinkToEgress, EgressNode, Packet_To_Egress2(MB), WorkloadOnEgress(0)
0.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,15,1592,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,15,0
1.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,15,1551,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,15,0
2.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,13,1329,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,13,0
3.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,13,1377,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,13,0
4.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,13,1362,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,13,0
5.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,16,1617,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,16,0
6.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,13,1365,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,13,0
7.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,15,1537,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,15,0
8.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,15,1557,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,15,0
9.0,sfc-ingress53egress53_psfc1,Ingress53,0,0,Ingress53-sfc-ingress53egress53_psfc1SF-A,sfc-ingress53egress53_psfc1SF-A,14,1419,sfc-ingress53egress53_psfc1SF-A-Egress53,Egress53,14,0
