time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
0.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1226,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
1.0,sfc-ingress37egress37,Ingress37,10,10,SF-A,1059,10,SF-B,1500,7,SF-C,1050,9,Egress37,1000.0
2.0,sfc-ingress37egress37,Ingress37,14,14,SF-A,1430,14,SF-B,2100,10,SF-C,1500,13,Egress37,1000.0
3.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1269,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
4.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1192,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
5.0,sfc-ingress37egress37,Ingress37,13,13,SF-A,1348,13,SF-B,1950,9,SF-C,1350,12,Egress37,1000.0
6.0,sfc-ingress37egress37,Ingress37,10,10,SF-A,1005,10,SF-B,1500,7,SF-C,1050,9,Egress37,1000.0
7.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1131,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
8.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1255,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
9.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1262,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
10.0,sfc-ingress37egress37,Ingress37,13,13,SF-A,1346,13,SF-B,1950,9,SF-C,1350,12,Egress37,1000.0
11.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1230,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
12.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1209,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
13.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1159,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
14.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1128,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
15.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1105,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
16.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1194,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
17.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1267,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
18.0,sfc-ingress37egress37,Ingress37,10,10,SF-A,1028,10,SF-B,1500,7,SF-C,1050,9,Egress37,1000.0
19.0,sfc-ingress37egress37,Ingress37,9,9,SF-A,963,9,SF-B,1350,6,SF-C,900,8,Egress37,1000.0
20.0,sfc-ingress37egress37,Ingress37,10,10,SF-A,1035,10,SF-B,1500,7,SF-C,1050,9,Egress37,1000.0
21.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1127,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
22.0,sfc-ingress37egress37,Ingress37,14,14,SF-A,1436,14,SF-B,2100,10,SF-C,1500,13,Egress37,1000.0
23.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1233,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
24.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1195,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
25.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1168,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
26.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1195,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
27.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1205,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
28.0,sfc-ingress37egress37,Ingress37,12,12,SF-A,1231,12,SF-B,1800,9,SF-C,1350,12,Egress37,1000.0
29.0,sfc-ingress37egress37,Ingress37,11,11,SF-A,1166,11,SF-B,1650,8,SF-C,1200,10,Egress37,1000.0
30.0,sfc-ingress37egress37,Ingress37,10,10,SF-A,1085,10,SF-B,1500,7,SF-C,1050,9,Egress37,1000.0
